 138: 13.348793, 220.149094 avg loss, 0.000001 rate, 3.294786 seconds, 17664 images
 139: 10.281879, 199.162369 avg loss, 0.000001 rate, 3.047087 seconds, 17792 images
 144: 9.126759, 180.158813 avg loss, 0.000001 rate, 3.283917 seconds, 18432 images
 145: 7.799634, 162.922897 avg loss, 0.000001 rate, 3.045820 seconds, 18560 images
 146: 7.263442, 147.356949 avg loss, 0.000001 rate, 2.905345 seconds, 18688 images
 147: 6.030421, 133.224289 avg loss, 0.000001 rate, 3.040567 seconds, 18816 images
 152: 5.480660, 120.449928 avg loss, 0.000001 rate, 3.263671 seconds, 19456 images
 153: 4.757994, 108.880737 avg loss, 0.000001 rate, 2.965220 seconds, 19584 images
 154: 4.741411, 98.466805 avg loss, 0.000001 rate, 2.995620 seconds, 19712 images
 155: 4.425175, 89.062645 avg loss, 0.000001 rate, 2.901040 seconds, 19840 images
 160: 4.256951, 80.582077 avg loss, 0.000001 rate, 3.265918 seconds, 20480 images
 161: 5.880502, 73.111923 avg loss, 0.000001 rate, 5.873698 seconds, 20608 images
 162: 5.259190, 66.326653 avg loss, 0.000001 rate, 5.920153 seconds, 20736 images
 163: 4.773195, 60.171307 avg loss, 0.000001 rate, 5.764255 seconds, 20864 images
 168: 4.690207, 54.623196 avg loss, 0.000002 rate, 6.158895 seconds, 21504 images
 169: 4.144332, 49.575310 avg loss, 0.000002 rate, 5.973707 seconds, 21632 images
 170: 4.087933, 45.026573 avg loss, 0.000002 rate, 5.963159 seconds, 21760 images
 171: 3.592829, 40.883198 avg loss, 0.000002 rate, 6.006142 seconds, 21888 images
 176: 3.804260, 37.175304 avg loss, 0.000002 rate, 6.243606 seconds, 22528 images
 177: 3.227313, 33.780506 avg loss, 0.000002 rate, 5.890730 seconds, 22656 images
 178: 3.202737, 30.722729 avg loss, 0.000002 rate, 6.001927 seconds, 22784 images
 179: 3.054493, 27.955906 avg loss, 0.000002 rate, 5.620114 seconds, 22912 images
 184: 2.936552, 25.453970 avg loss, 0.000002 rate, 5.775934 seconds, 23552 images
 185: 2.642980, 23.172871 avg loss, 0.000002 rate, 5.477052 seconds, 23680 images
 186: 2.741778, 21.129761 avg loss, 0.000002 rate, 5.619120 seconds, 23808 images
 187: 2.623963, 19.279181 avg loss, 0.000002 rate, 5.515377 seconds, 23936 images
 192: 2.738613, 17.625124 avg loss, 0.000003 rate, 5.804401 seconds, 24576 images
 193: 2.388040, 16.101416 avg loss, 0.000003 rate, 5.366801 seconds, 24704 images
 194: 2.080644, 14.699339 avg loss, 0.000003 rate, 5.516936 seconds, 24832 images
 195: 2.327497, 13.462154 avg loss, 0.000003 rate, 5.482957 seconds, 24960 images
 200: 2.295425, 12.345482 avg loss, 0.000003 rate, 5.900483 seconds, 25600 images
 201: 2.752109, 11.386145 avg loss, 0.000003 rate, 6.831006 seconds, 25728 images
 202: 2.571126, 10.504642 avg loss, 0.000003 rate, 7.037316 seconds, 25856 images
 203: 2.311613, 9.685340 avg loss, 0.000003 rate, 6.936890 seconds, 25984 images
 208: 2.347013, 8.951508 avg loss, 0.000004 rate, 7.228992 seconds, 26624 images
 209: 2.179262, 8.274283 avg loss, 0.000004 rate, 7.017764 seconds, 26752 images
 210: 2.167708, 7.663626 avg loss, 0.000004 rate, 7.083281 seconds, 26880 images
 211: 2.389369, 7.136200 avg loss, 0.000004 rate, 7.060870 seconds, 27008 images
 216: 2.208815, 6.643461 avg loss, 0.000004 rate, 7.254282 seconds, 27648 images
 217: 2.175173, 6.196632 avg loss, 0.000004 rate, 6.789934 seconds, 27776 images
 218: 2.319585, 5.808928 avg loss, 0.000005 rate, 6.931472 seconds, 27904 images
 219: 2.109547, 5.438990 avg loss, 0.000005 rate, 7.364386 seconds, 28032 images
 224: 2.314214, 5.126512 avg loss, 0.000005 rate, 7.976628 seconds, 28672 images
 225: 2.373161, 4.851177 avg loss, 0.000005 rate, 7.684577 seconds, 28800 images
 226: 2.251127, 4.591172 avg loss, 0.000005 rate, 7.657192 seconds, 28928 images
 227: 2.110047, 4.343060 avg loss, 0.000005 rate, 7.763013 seconds, 29056 images
 232: 2.299522, 4.138706 avg loss, 0.000006 rate, 8.033877 seconds, 29696 images
 233: 1.875346, 3.912370 avg loss, 0.000006 rate, 7.627691 seconds, 29824 images
 234: 2.150111, 3.736144 avg loss, 0.000006 rate, 7.557430 seconds, 29952 images
 235: 2.067461, 3.569276 avg loss, 0.000006 rate, 7.708317 seconds, 30080 images
 240: 2.075927, 3.419941 avg loss, 0.000007 rate, 8.051231 seconds, 30720 images
 241: 2.075845, 3.285531 avg loss, 0.000007 rate, 3.424768 seconds, 30848 images
 242: 2.041694, 3.161147 avg loss, 0.000007 rate, 3.334000 seconds, 30976 images
 243: 2.214008, 3.066433 avg loss, 0.000007 rate, 3.293392 seconds, 31104 images
 248: 1.969891, 2.956779 avg loss, 0.000008 rate, 3.651753 seconds, 31744 images
 249: 1.972548, 2.858356 avg loss, 0.000008 rate, 3.337298 seconds, 31872 images
 250: 2.124614, 2.784982 avg loss, 0.000008 rate, 3.282948 seconds, 32000 images
 251: 1.978841, 2.704368 avg loss, 0.000008 rate, 3.257045 seconds, 32128 images
 256: 1.869064, 2.620837 avg loss, 0.000009 rate, 3.498423 seconds, 32768 images
 257: 1.972600, 2.556014 avg loss, 0.000009 rate, 3.287601 seconds, 32896 images
 258: 1.820063, 2.482419 avg loss, 0.000009 rate, 3.395665 seconds, 33024 images
 259: 1.878720, 2.422049 avg loss, 0.000009 rate, 6.810350 seconds, 33152 images
 264: 1.944411, 2.374285 avg loss, 0.000010 rate, 7.311855 seconds, 33792 images
 265: 1.995162, 2.336373 avg loss, 0.000010 rate, 6.845496 seconds, 33920 images
 266: 1.819477, 2.284683 avg loss, 0.000010 rate, 7.059311 seconds, 34048 images
 267: 1.875594, 2.243774 avg loss, 0.000010 rate, 7.081322 seconds, 34176 images
 272: 1.882530, 2.207650 avg loss, 0.000011 rate, 7.214876 seconds, 34816 images
 273: 1.806067, 2.167491 avg loss, 0.000011 rate, 6.957466 seconds, 34944 images
 274: 1.738321, 2.124574 avg loss, 0.000011 rate, 6.957775 seconds, 35072 images
 275: 1.794439, 2.091561 avg loss, 0.000011 rate, 6.990920 seconds, 35200 images
 280: 1.842589, 2.066664 avg loss, 0.000012 rate, 7.094505 seconds, 35840 images
 281: 1.922206, 2.052218 avg loss, 0.000012 rate, 8.657973 seconds, 35968 images
 282: 1.886810, 2.035677 avg loss, 0.000013 rate, 8.675405 seconds, 36096 images
 283: 1.922002, 2.024310 avg loss, 0.000013 rate, 8.641241 seconds, 36224 images
 288: 1.911098, 2.012989 avg loss, 0.000014 rate, 8.754556 seconds, 36864 images
 289: 1.859780, 1.997668 avg loss, 0.000014 rate, 8.654451 seconds, 36992 images
 290: 1.809309, 1.978832 avg loss, 0.000014 rate, 8.708502 seconds, 37120 images
 291: 1.937151, 1.974664 avg loss, 0.000014 rate, 8.674114 seconds, 37248 images
 296: 1.671845, 1.944382 avg loss, 0.000015 rate, 8.997155 seconds, 37888 images
 297: 1.756147, 1.925558 avg loss, 0.000016 rate, 8.526002 seconds, 38016 images
 298: 1.745972, 1.907600 avg loss, 0.000016 rate, 8.728584 seconds, 38144 images
 299: 2.011299, 1.917970 avg loss, 0.000016 rate, 7.992218 seconds, 38272 images
 304: 1.967614, 1.922934 avg loss, 0.000017 rate, 8.288882 seconds, 38912 images
 305: 1.799237, 1.910564 avg loss, 0.000017 rate, 8.091851 seconds, 39040 images
 306: 2.085311, 1.928039 avg loss, 0.000018 rate, 8.256655 seconds, 39168 images
 307: 2.103643, 1.945599 avg loss, 0.000018 rate, 8.160879 seconds, 39296 images
 312: 2.069110, 1.957950 avg loss, 0.000019 rate, 8.489741 seconds, 39936 images
 313: 1.717870, 1.933942 avg loss, 0.000019 rate, 8.018823 seconds, 40064 images
 314: 1.802883, 1.920836 avg loss, 0.000019 rate, 8.248560 seconds, 40192 images
 315: 2.069425, 1.935695 avg loss, 0.000020 rate, 8.281407 seconds, 40320 images
 320: 1.946494, 1.936775 avg loss, 0.000021 rate, 8.533247 seconds, 40960 images
 321: 1.754746, 1.918572 avg loss, 0.000021 rate, 2.838686 seconds, 41088 images
 322: 1.671288, 1.893844 avg loss, 0.000022 rate, 3.033790 seconds, 41216 images
 323: 1.833782, 1.887838 avg loss, 0.000022 rate, 2.918380 seconds, 41344 images
 328: 1.924550, 1.891509 avg loss, 0.000023 rate, 3.301767 seconds, 41984 images
 329: 1.858813, 1.888239 avg loss, 0.000023 rate, 2.908001 seconds, 42112 images
 330: 1.682200, 1.867635 avg loss, 0.000024 rate, 2.994694 seconds, 42240 images
 331: 1.826295, 1.863502 avg loss, 0.000024 rate, 3.017759 seconds, 42368 images
 336: 1.689383, 1.846090 avg loss, 0.000025 rate, 3.126558 seconds, 43008 images
 337: 1.824725, 1.843953 avg loss, 0.000026 rate, 2.961464 seconds, 43136 images
 338: 1.766761, 1.836234 avg loss, 0.000026 rate, 3.085558 seconds, 43264 images
 339: 1.692420, 1.821853 avg loss, 0.000026 rate, 2.977006 seconds, 43392 images
 344: 1.888470, 1.828514 avg loss, 0.000028 rate, 3.316249 seconds, 44032 images
 345: 1.657797, 1.811443 avg loss, 0.000028 rate, 3.065104 seconds, 44160 images
 346: 1.788139, 1.809112 avg loss, 0.000029 rate, 3.041065 seconds, 44288 images
 347: 1.757312, 1.803932 avg loss, 0.000029 rate, 3.055985 seconds, 44416 images
 352: 1.428486, 1.766388 avg loss, 0.000031 rate, 3.296327 seconds, 45056 images
